epoch,total,ic,bc,pde
0,0.8005706667900085,0.728401780128479,0.0634884163737297,0.0017360919155180454
1,0.7198784351348877,0.5749668478965759,0.1291094720363617,0.0031604317482560873
2,0.762656569480896,0.5400188565254211,0.20273999869823456,0.003979544620960951
3,0.700652003288269,0.5500162243843079,0.14403685927391052,0.0013197892112657428
4,0.6761365532875061,0.5942873954772949,0.08016590774059296,0.00033664394868537784
5,0.7005347609519958,0.6400793790817261,0.05437515676021576,0.0012160456972196698
6,0.7114583253860474,0.6494730114936829,0.053325604647397995,0.0017319422913715243
7,0.692205011844635,0.6242877244949341,0.062205635011196136,0.0011423316318541765
8,0.6701653599739075,0.5863866806030273,0.08183816075325012,0.0003881047887261957
9,0.6670151948928833,0.5553432106971741,0.10993683338165283,0.0003470252559054643
10,0.6776183843612671,0.5387142300605774,0.13421553373336792,0.000937727396376431
11,0.6812670230865479,0.5328973531723022,0.14188654720783234,0.0012966241920366883
12,0.6702393889427185,0.5343673229217529,0.13082550466060638,0.0010093110613524914
13,0.655708909034729,0.5438998937606812,0.1090167686343193,0.0005584458122029901
14,0.6499793529510498,0.5606992244720459,0.08669190853834152,0.0005176432314328849
15,0.6529975533485413,0.578083872795105,0.07052178680896759,0.0008783822413533926
16,0.6544849276542664,0.5863286256790161,0.06250110268592834,0.0011310485424473882
17,0.6473459005355835,0.5800195932388306,0.06245239078998566,0.0009747813455760479
18,0.6358038187026978,0.5614908933639526,0.07044141739606857,0.0007743057212792337
19,0.6288755536079407,0.5380228161811829,0.08521738648414612,0.0011270609684288502
20,0.6283549666404724,0.5176554322242737,0.10076756775379181,0.0019863999914377928
21,0.6261881589889526,0.5059162378311157,0.10792063176631927,0.002470260951668024
22,0.6169838905334473,0.5038149952888489,0.10261999815702438,0.0021097727585583925
23,0.6067255139350891,0.5085120797157288,0.08972977101802826,0.001696725725196302
24,0.6024613976478577,0.5141910910606384,0.07810136675834656,0.0020337982568889856
25,0.5989227890968323,0.5132390856742859,0.0739121288061142,0.002354313852265477
26,0.5890738368034363,0.5013609528541565,0.07817505300045013,0.0019075594609603286
27,0.5802422165870667,0.4819881021976471,0.08832381665706635,0.001986058196052909
28,0.5777785778045654,0.46470052003860474,0.09752612560987473,0.003110389458015561
29,0.5706879496574402,0.4575687646865845,0.09783002734184265,0.0030578207224607468
