epoch,total,ic,bc,pde
0,0.7759219408035278,0.3213499188423157,0.17054440081119537,0.05680552124977112
1,0.5300484299659729,0.335414320230484,0.11441695690155029,0.01604342646896839
2,0.4362770617008209,0.35025107860565186,0.08315245807170868,0.0005747041432186961
3,0.45430082082748413,0.3661024570465088,0.06683877110481262,0.004271921701729298
4,0.5037195682525635,0.3820628821849823,0.05407074838876724,0.013517195358872414
5,0.5241386294364929,0.3958969712257385,0.04061438515782356,0.01752544939517975
6,0.5086973309516907,0.4062195122241974,0.02790641225874424,0.014914275147020817
7,0.4764646291732788,0.41278520226478577,0.01868610829114914,0.008998659439384937
8,0.44757863879203796,0.4157172739505768,0.014770539477467537,0.0034181650262326
9,0.43365973234176636,0.4151664972305298,0.01621551811695099,0.000455548899481073
10,0.4356478452682495,0.4114159047603607,0.021455926820635796,0.0005552057991735637
11,0.4461807310581207,0.405075341463089,0.02823115885257721,0.00257484195753932
12,0.4553845226764679,0.3970821499824524,0.034681763499975204,0.0047241197898983955
13,0.45680052042007446,0.38848423957824707,0.03998938202857971,0.0056653800420463085
14,0.449833482503891,0.38019585609436035,0.04434362053871155,0.005058801267296076
15,0.43840762972831726,0.37287941575050354,0.048443399369716644,0.00341696385294199
16,0.42794251441955566,0.36694440245628357,0.052881523966789246,0.0016233180649578571
17,0.4225119948387146,0.3625912368297577,0.05767586827278137,0.00044897772022522986
18,0.42315393686294556,0.35985904932022095,0.06213141977787018,0.00023269871599040926
19,0.4277938902378082,0.35867059230804443,0.06512422859668732,0.0007998192450031638
20,0.4327062964439392,0.35887160897254944,0.06567095965147018,0.0016327410703524947
21,0.43464547395706177,0.3602610230445862,0.06342598795890808,0.002191695151850581
22,0.43239903450012207,0.3626125156879425,0.05882497504353523,0.002192307962104678
23,0.427030086517334,0.3656867444515228,0.052874092012643814,0.001693851314485073
24,0.4209759533405304,0.3692311644554138,0.0467645600438118,0.0009960444876924157
25,0.4166758358478546,0.37296926975250244,0.041492097079753876,0.0004428915272001177
26,0.4154180586338043,0.37659406661987305,0.0375988632440567,0.00024503047461621463
27,0.41687527298927307,0.3797818720340729,0.035105571150779724,0.0003975671133957803
28,0.4194760322570801,0.38223323225975037,0.03364960849285126,0.0007186440634541214
29,0.4213595688343048,0.38372671604156494,0.03275907412171364,0.0009747589356265962
30,0.42135152220726013,0.38415849208831787,0.03211899846792221,0.0010148034198209643
31,0.4194355010986328,0.38354986906051636,0.03169727697968483,0.0008376688347198069
32,0.4165557026863098,0.38202548027038574,0.0316942036151886,0.0005672027473337948
33,0.41397595405578613,0.37978023290634155,0.03237547725439072,0.00036404808633960783
34,0.4125910997390747,0.37704703211784363,0.03388769179582596,0.0003312737389933318
35,0.41253527998924255,0.3740707039833069,0.0361427441239357,0.0004643685824703425
36,0.4132416546344757,0.37108755111694336,0.03881828859448433,0.0006671594455838203
37,0.4138643145561218,0.36831042170524597,0.041464727371931076,0.0008178375428542495
38,0.41378697752952576,0.36591923236846924,0.04365835338830948,0.0008418820216320455
39,0.41291865706443787,0.3640546500682831,0.04512254148721695,0.0007482960354536772
40,0.41164183616638184,0.3628132939338684,0.04576690495014191,0.0006123328348621726
41,0.41050103306770325,0.36224183440208435,0.04564914107322693,0.0005220139282755554
42,0.40985432267189026,0.3623306453227997,0.044900745153427124,0.0005245847278274596
43,0.4096958041191101,0.3630092442035675,0.04366489499807358,0.0006043321336619556
44,0.4097258448600769,0.36414864659309387,0.04207213222980499,0.0007010101689957082
45,0.4095879793167114,0.36557209491729736,0.04025126248598099,0.0007529252325184643
46,0.40910276770591736,0.3670741319656372,0.03835152089595795,0.0007354221888817847
47,0.4083532989025116,0.36844509840011597,0.0365498885512352,0.0006716579664498568
48,0.40759047865867615,0.3694958984851837,0.03503233566880226,0.0006124487263150513
49,0.4070448577404022,0.37008118629455566,0.03395674377679825,0.0006013859529048204
50,0.4067758321762085,0.3701155483722687,0.03341759368777275,0.0006485412595793605
51,0.40665289759635925,0.3695831596851349,0.033429183065891266,0.0007281138096004725
52,0.406463623046875,0.36853650212287903,0.03393293544650078,0.0007988364086486399
53,0.4060652256011963,0.3670874238014221,0.034819792956113815,0.0008316031889989972
54,0.4054710865020752,0.36538904905319214,0.03595321625471115,0.000825763214379549
55,0.40482383966445923,0.3636148273944855,0.037183940410614014,0.0008050151518546045
56,0.4042843282222748,0.3619352877140045,0.03835767135024071,0.0007982748211361468
57,0.40392234921455383,0.3604978024959564,0.03932439535856247,0.0008200306328944862
58,0.40368080139160156,0.3594091832637787,0.03995591402053833,0.0008631420787423849
59,0.40343037247657776,0.35872524976730347,0.04016971215605736,0.0009070784435607493
60,0.4030647873878479,0.3584461808204651,0.03994916379451752,0.0009338882518932223
61,0.4025690257549286,0.3585202693939209,0.03934880346059799,0.0009399896953254938
62,0.40201476216316223,0.35885244607925415,0.03848046809434891,0.0009363697026856244
63,0.4014987647533417,0.3593192398548126,0.03748573362827301,0.0009387551108375192
64,0.4010723829269409,0.35978615283966064,0.036506153643131256,0.0009560169419273734
65,0.40071332454681396,0.3601262867450714,0.03566138446331024,0.000985132995992899
66,0.40035295486450195,0.36023762822151184,0.03503887355327606,0.0010152958566322923
67,0.3999321162700653,0.3600560426712036,0.03469156473875046,0.0010369024239480495
68,0.3994409441947937,0.3595622181892395,0.03463757410645485,0.0010482306824997067
69,0.39891642332077026,0.3587813973426819,0.034858450293540955,0.0010553093161433935
70,0.3984062969684601,0.3577767312526703,0.03529875725507736,0.0010661621345207095
71,0.3979313373565674,0.35663753747940063,0.03587092459201813,0.0010845783399417996
72,0.3974741995334625,0.3554644286632538,0.036469198763370514,0.0011081164702773094
73,0.3969995379447937,0.35435429215431213,0.03698977828025818,0.0011310947593301535
74,0.3964838683605194,0.3533860445022583,0.037350788712501526,0.0011494123609736562
75,0.39593151211738586,0.35261040925979614,0.037505388259887695,0.0011631421511992812
76,0.3953651189804077,0.35204386711120605,0.037444934248924255,0.0011752633145079017
77,0.3948040008544922,0.3516685366630554,0.03719421103596687,0.0011882460676133633
78,0.394247829914093,0.35143646597862244,0.036802973598241806,0.001201678765937686
79,0.39367979764938354,0.351279079914093,0.036336611956357956,0.0012128261150792241
80,0.3930826485157013,0.35111895203590393,0.035867318511009216,0.001219276455231011
81,0.392452597618103,0.35088273882865906,0.03546401113271713,0.0012211684370413423
82,0.39179956912994385,0.35051229596138,0.035181693732738495,0.0012211169814690948
83,0.39113548398017883,0.34997305274009705,0.03505169600248337,0.0012221460929140449
84,0.39046263694763184,0.3492579758167267,0.03507673367857933,0.0012255827896296978
85,0.38977208733558655,0.3483867943286896,0.03523212671279907,0.0012306316057220101
86,0.38905245065689087,0.3474009335041046,0.03547319769859314,0.001235663192346692
87,0.38829946517944336,0.3463548421859741,0.03574582189321518,0.0012397569371387362
88,0.38751792907714844,0.34530603885650635,0.03599654138088226,0.0012430691858753562
89,0.3867148756980896,0.3443045914173126,0.036180756986141205,0.001245903316885233
90,0.38589149713516235,0.34338492155075073,0.036268435418605804,0.0012476249830797315
91,0.38504159450531006,0.34256061911582947,0.036247845739126205,0.0012466235784813762
92,0.3841569423675537,0.341823011636734,0.03612685576081276,0.0012414129450917244
93,0.383233904838562,0.3411438763141632,0.035930901765823364,0.0012318275403231382
94,0.38227537274360657,0.34048184752464294,0.035697437822818756,0.0012192190624773502
95,0.38128530979156494,0.33978986740112305,0.035467833280563354,0.0012055188417434692
96,0.38026371598243713,0.33902451395988464,0.03527887910604477,0.0011920655379071832
97,0.3792053759098053,0.33815303444862366,0.03515644371509552,0.0011791738215833902
98,0.37810373306274414,0.3371587097644806,0.03511204570531845,0.001166593749076128
99,0.3769558370113373,0.3360426723957062,0.03514236956834793,0.0011541612911969423
100,0.375762939453125,0.334822416305542,0.03523094207048416,0.0011419205693528056
101,0.3745266795158386,0.3335269093513489,0.035351306200027466,0.001129694515839219
102,0.37324580550193787,0.33219027519226074,0.03547190874814987,0.0011167234042659402
103,0.37191587686538696,0.33084437251091003,0.035562001168727875,0.0011019008234143257
104,0.3705325424671173,0.32951241731643677,0.035597749054431915,0.0010844739153981209
105,0.36909356713294983,0.3282040059566498,0.035566799342632294,0.0010645511792972684
106,0.3675989806652069,0.32691365480422974,0.03547046333551407,0.0010429759277030826
107,0.36604827642440796,0.32562166452407837,0.03532290831208229,0.001020743977278471
108,0.3644388020038605,0.32429829239845276,0.03514784947037697,0.0009985339129343629
109,0.36276665329933167,0.3229099214076996,0.03497335687279701,0.000976674840785563
110,0.36102887988090515,0.3214260935783386,0.034825973212718964,0.0009553636773489416
