epoch,total,ic,bc,pde
0,0.7850756049156189,0.3321707844734192,0.10388875007629395,0.06980321556329727
1,0.42009982466697693,0.33942076563835144,0.07506407052278519,0.0011229985393583775
2,0.5695094466209412,0.36966362595558167,0.06427962332963943,0.02711324393749237
3,0.5793361663818359,0.3376471996307373,0.10467316210269928,0.02740316465497017
4,0.49420222640037537,0.3080713450908661,0.13405835628509521,0.010414507240056992
5,0.438005656003952,0.30296969413757324,0.12419324368238449,0.002168543403968215
6,0.4256485402584076,0.3207058906555176,0.086248978972435,0.0037387325428426266
7,0.4475588798522949,0.3506951332092285,0.051273852586746216,0.0091179758310318
8,0.4737330675125122,0.37664347887039185,0.03473331779241562,0.012471253983676434
9,0.47272467613220215,0.3857574760913849,0.03192862495779991,0.011007714085280895
10,0.44716498255729675,0.3779834806919098,0.03653019294142723,0.006530263461172581
11,0.42075538635253906,0.36012938618659973,0.048133790493011475,0.0024984395131468773
12,0.4104456305503845,0.34037503600120544,0.06542429327964783,0.0009292574250139296
13,0.41579651832580566,0.3256950378417969,0.08189285546541214,0.0016417241422459483
14,0.4257782995700836,0.31976842880249023,0.08997413516044617,0.003207145957276225
15,0.4314308166503906,0.32220572233200073,0.0878506675362587,0.004274889826774597
16,0.43033331632614136,0.3297862112522125,0.07952450960874557,0.0042045158334076405
17,0.4238366484642029,0.33832332491874695,0.0700477734208107,0.003093114122748375
18,0.4148927927017212,0.3443906009197235,0.062400490045547485,0.0016203427221626043
19,0.4072749614715576,0.34644538164138794,0.0575319305062294,0.0006595339509658515
20,0.4039171040058136,0.34490299224853516,0.055394574999809265,0.0007239060942083597
21,0.4050724506378174,0.3414081335067749,0.05537058413028717,0.0016587503487244248
22,0.40830129384994507,0.33787673711776733,0.056352224200963974,0.002814464271068573
23,0.4103793203830719,0.33571285009384155,0.057106487452983856,0.0035119925159960985
24,0.40941500663757324,0.33540454506874084,0.05685519799590111,0.0034310542978346348
25,0.4056359827518463,0.3365251421928406,0.055598869919776917,0.0027023996226489544
26,0.40071386098861694,0.33802422881126404,0.05399056151509285,0.0017398108029738069
27,0.3964960277080536,0.3386614918708801,0.052951231598854065,0.0009766637813299894
28,0.3940120339393616,0.33746299147605896,0.05327342450618744,0.0006551285623572767
29,0.3931517004966736,0.33408913016319275,0.0553116500377655,0.0007501842337660491
30,0.3929801881313324,0.32899925112724304,0.05876743420958519,0.0010426981607452035
31,0.39236050844192505,0.3233273923397064,0.062627412378788,0.0012811433989554644
32,0.39049994945526123,0.3184771239757538,0.06541076302528381,0.0013224122812971473
33,0.38724827766418457,0.3155697286128998,0.06580688059329987,0.0011743283830583096
34,0.38313162326812744,0.3149634301662445,0.06342664361000061,0.0009483081521466374
35,0.3790513277053833,0.31604498624801636,0.05910775437951088,0.0007797182188369334
36,0.3756857216358185,0.3173959255218506,0.05448475480079651,0.0007610099855810404
37,0.37302130460739136,0.317340224981308,0.051154594868421555,0.0009052992099896073
38,0.37047335505485535,0.31472644209861755,0.050018779933452606,0.0011456258362159133
39,0.36744609475135803,0.3095627427101135,0.051033586263656616,0.0013699553674086928
40,0.3636860251426697,0.3030688464641571,0.05322657525539398,0.0014781258068978786
41,0.35920366644859314,0.29702678322792053,0.05501481145620346,0.001432412420399487
42,0.35420045256614685,0.2927491366863251,0.055058885365724564,0.0012784813297912478
43,0.3491325080394745,0.2902510166168213,0.053258419036865234,0.001124611939303577
44,0.34444573521614075,0.2881808280944824,0.05086665600538254,0.0010796516435220838
45,0.34012556076049805,0.284708172082901,0.04947620630264282,0.001188237452879548
46,0.335833877325058,0.2789486348628998,0.049796245992183685,0.0014177964767441154
47,0.3313795328140259,0.27183422446250916,0.051062606275081635,0.0016965375980362296
48,0.32670462131500244,0.26550817489624023,0.051421619951725006,0.0019549690186977386
49,0.32183772325515747,0.26154467463493347,0.04949323460459709,0.00215996359474957
50,0.3171440064907074,0.25944218039512634,0.045948781073093414,0.0023506097495555878
51,0.31299564242362976,0.25688454508781433,0.04295729473233223,0.002630756003782153
52,0.3093942105770111,0.2519540786743164,0.04199151694774628,0.003089718986302614
53,0.3063221275806427,0.24534407258033752,0.042449142783880234,0.0037057793233543634
54,0.3036614954471588,0.23985064029693604,0.04215674847364426,0.004330819938331842
55,0.3011835515499115,0.23723255097866058,0.03978470712900162,0.00483325868844986
56,0.29903537034988403,0.23599107563495636,0.0366661436855793,0.0052756331861019135
57,0.2973584830760956,0.23319251835346222,0.034903399646282196,0.005852515809237957
58,0.29626399278640747,0.22855980694293976,0.03459242731332779,0.006622347980737686
59,0.2957412004470825,0.2250220775604248,0.03384152427315712,0.007375520188361406
60,0.2954407036304474,0.2243015021085739,0.031648844480514526,0.007898076437413692
61,0.29517707228660583,0.2240893393754959,0.029616154730319977,0.00829431414604187
62,0.29476645588874817,0.22166621685028076,0.02922401949763298,0.00877524446696043
63,0.29428771138191223,0.21846237778663635,0.029589753597974777,0.009247117675840855
64,0.29372262954711914,0.21753035485744476,0.029005691409111023,0.009437314234673977
65,0.29303449392318726,0.21819578111171722,0.027890022844076157,0.00938973855227232
66,0.29216068983078003,0.217457577586174,0.02782515436410904,0.009375587105751038
67,0.29112786054611206,0.21553464233875275,0.0286724753677845,0.009384151548147202
68,0.29001760482788086,0.21521897614002228,0.028909530490636826,0.009177819825708866
69,0.2888910174369812,0.21651728451251984,0.028408678248524666,0.00879300944507122
70,0.28782251477241516,0.216749906539917,0.028511017560958862,0.00851231999695301
71,0.28686657547950745,0.21556659042835236,0.029388505965471268,0.008382294327020645
72,0.286080539226532,0.2153278887271881,0.02977585792541504,0.008195356465876102
73,0.28542542457580566,0.21650724112987518,0.02938036434352398,0.00790756568312645
74,0.2848559021949768,0.21697735786437988,0.02939378097653389,0.007696954067796469
75,0.28432586789131165,0.21613800525665283,0.03014090657234192,0.0076093897223472595
76,0.283869206905365,0.2158624678850174,0.030520685017108917,0.007497209589928389
77,0.2834789454936981,0.2167471945285797,0.030109774321317673,0.007324396166950464
78,0.28312134742736816,0.21704430878162384,0.029875345528125763,0.007240337785333395
79,0.2827214002609253,0.21606425940990448,0.03017914667725563,0.007295601069927216
80,0.28227928280830383,0.21535439789295197,0.030140306800603867,0.007356912363320589
81,0.2818198502063751,0.2155628651380539,0.02943781018257141,0.007363833021372557
82,0.2813764810562134,0.21529054641723633,0.028959324583411217,0.007425325457006693
83,0.28093183040618896,0.21403907239437103,0.029002245515584946,0.0075781033374369144
84,0.28048306703567505,0.21320290863513947,0.02875623106956482,0.007704783696681261
85,0.28003665804862976,0.2131417840719223,0.028025910258293152,0.007773791905492544
86,0.27961257100105286,0.21248400211334229,0.027613485231995583,0.007903015241026878
87,0.279215544462204,0.21108631789684296,0.02760116010904312,0.008105612359941006
88,0.27885138988494873,0.2103033810853958,0.027253063395619392,0.008258986286818981
89,0.2785189151763916,0.2100292295217514,0.026658084243535995,0.00836632028222084
90,0.27819889783859253,0.20907214283943176,0.026466622948646545,0.008532028645277023
91,0.27788227796554565,0.20795932412147522,0.026390062645077705,0.00870657991617918
92,0.27757328748703003,0.20770321786403656,0.025904901325702667,0.008793030865490437
93,0.27727997303009033,0.20743170380592346,0.02549700438976288,0.008870255202054977
94,0.27698081731796265,0.2064897119998932,0.02551320195198059,0.008995580486953259
95,0.27666622400283813,0.2059536725282669,0.025403210893273354,0.009061869233846664
96,0.27634531259536743,0.20594389736652374,0.02509898878633976,0.009060483425855637
97,0.2760263681411743,0.2054101675748825,0.025115828961133957,0.009100076742470264
98,0.2757086455821991,0.20481209456920624,0.025210365653038025,0.009137238375842571
99,0.27538949251174927,0.20489779114723206,0.025003191083669662,0.009097704663872719
100,0.2750728726387024,0.20479407906532288,0.024930370971560478,0.009069684892892838
101,0.27475881576538086,0.2042691707611084,0.02509605698287487,0.009078720584511757
102,0.2744521498680115,0.20422358810901642,0.025035696104168892,0.009038573130965233
103,0.2741548418998718,0.204268217086792,0.02493523806333542,0.008990276604890823
104,0.27385786175727844,0.2038077414035797,0.025084691122174263,0.008993084542453289
105,0.2735605239868164,0.20359909534454346,0.025096014142036438,0.008973079733550549
106,0.27326855063438416,0.20365415513515472,0.024958308786153793,0.008931218646466732
107,0.27297940850257874,0.20324137806892395,0.02503279224038124,0.008941050618886948
108,0.27268877625465393,0.20287156105041504,0.025053931400179863,0.008952655829489231
109,0.27239763736724854,0.20282597839832306,0.02488035336136818,0.008938265033066273
110,0.27210837602615356,0.20242729783058167,0.024859808385372162,0.008964252658188343
111,0.27182161808013916,0.20200002193450928,0.024833280593156815,0.008997661992907524
112,0.2715368866920471,0.20190730690956116,0.02462530881166458,0.009000852704048157
113,0.27125245332717896,0.20150470733642578,0.02456751838326454,0.009036043658852577
114,0.2709689736366272,0.2010134756565094,0.0245526060461998,0.00908057950437069
115,0.27068817615509033,0.20083646476268768,0.02438078448176384,0.009094182401895523
116,0.27040714025497437,0.20042534172534943,0.024323541671037674,0.009131652303040028
117,0.2701236605644226,0.2000119686126709,0.024267226457595825,0.009168894030153751
