epoch,total,ic,bc,pde,lambda_ic,lambda_bc,lambda_pde,stage
0,0.4822872579097748,0.34614360332489014,0.13482370972633362,0.00026398629415780306,1.0,1.0,5.0,0
1,0.5480667948722839,0.5360717177391052,0.007534462958574295,0.0008921211119741201,1.0,1.0,5.0,0
2,0.4788837432861328,0.4708532989025116,0.006557969842106104,0.00029449426801875234,1.0,1.0,5.0,0
3,0.45248347520828247,0.39184632897377014,0.06053926795721054,1.9571940356399864e-05,1.0,1.0,5.0,0
4,0.48225194215774536,0.3441184163093567,0.13675838708877563,0.0002750271523837,1.0,1.0,5.0,0
5,0.48257696628570557,0.33815425634384155,0.14231576025485992,0.00042139156721532345,1.0,1.0,5.0,0
6,0.4559752643108368,0.3629060983657837,0.09251503646373749,0.00011082386481575668,1.0,1.0,5.0,0
7,0.4433126449584961,0.4011697769165039,0.041687387973070145,9.109459642786533e-05,1.0,1.0,5.0,0
8,0.451091468334198,0.4348337948322296,0.015532653778791428,0.00014500434917863458,1.0,1.0,5.0,0
9,0.460631400346756,0.45123645663261414,0.008816231973469257,0.00011573977826628834,1.0,1.0,5.0,0
10,0.4573901295661926,0.44715920090675354,0.009653789922595024,0.00011543193977558985,1.0,1.0,5.0,0
11,0.4455684721469879,0.42796561121940613,0.01706617698073387,0.00010733577801147476,1.0,1.0,5.0,0
12,0.43731489777565,0.4019065201282501,0.03490807116031647,0.00010005947115132585,1.0,1.0,5.0,0
13,0.437349796295166,0.37666377425193787,0.060093216598033905,0.00011855841148644686,1.0,1.0,5.0,0
14,0.44218629598617554,0.3598407208919525,0.08123178035020828,0.00022275876835919917,1.0,1.0,5.0,0
15,0.4431041181087494,0.3547782301902771,0.08722827583551407,0.00021952301904093474,1.0,1.0,5.0,0
16,0.4384412467479706,0.36000964045524597,0.07733726501464844,0.0002188666840083897,1.0,1.0,5.0,0
17,0.43155503273010254,0.37160128355026245,0.058661747723817825,0.0002583964087534696,1.0,1.0,5.0,0
18,0.42816266417503357,0.3866328001022339,0.039839066565036774,0.00033816389623098075,1.0,1.0,5.0,0
19,0.42862704396247864,0.40073397755622864,0.026111479848623276,0.0003563194186426699,1.0,1.0,5.0,0
20,0.43027353286743164,0.4085351526737213,0.019469693303108215,0.00045373215107247233,1.0,1.0,5.0,0
21,0.428940087556839,0.4067074656486511,0.01966661959886551,0.0005132016376592219,1.0,1.0,5.0,0
22,0.42494192719459534,0.39675989747047424,0.025256091728806496,0.0005851868772879243,1.0,1.0,5.0,0
23,0.42061465978622437,0.3821928799152374,0.034851983189582825,0.0007139560184441507,1.0,1.0,5.0,0
24,0.4187433123588562,0.36698973178863525,0.04764852672815323,0.0008210102096199989,1.0,1.0,5.0,0
25,0.4190017879009247,0.3549964427947998,0.05908258259296417,0.0009845526656135917,1.0,1.0,5.0,0
26,0.41871529817581177,0.34977421164512634,0.06328219920396805,0.0011317761382088065,1.0,1.0,5.0,0
27,0.4165627360343933,0.3509671986103058,0.059218570590019226,0.0012753962073475122,1.0,1.0,5.0,0
28,0.41337117552757263,0.3566126227378845,0.0494702011346817,0.0014576745452359319,1.0,1.0,5.0,0
29,0.41133809089660645,0.36535537242889404,0.03848247230052948,0.0015000463463366032,1.0,1.0,5.0,0
30,0.411345511674881,0.3722715675830841,0.030966948717832565,0.001621403731405735,1.0,1.0,5.0,0
31,0.4115152060985565,0.37431401014328003,0.028551656752824783,0.0017299072351306677,1.0,1.0,5.0,0
32,0.4098607897758484,0.3700638711452484,0.030240749940276146,0.0019112323643639684,1.0,1.0,5.0,0
33,0.40733569860458374,0.36061781644821167,0.03685460239648819,0.0019726597238332033,1.0,1.0,5.0,0
34,0.40615013241767883,0.3502296507358551,0.045330390334129333,0.002118020551279187,1.0,1.0,5.0,0
35,0.4061717391014099,0.3425332307815552,0.052377134561538696,0.0022522746585309505,1.0,1.0,5.0,0
36,0.4051983952522278,0.3401916027069092,0.05343719571828842,0.002313917735591531,1.0,1.0,5.0,0
37,0.4027765393257141,0.3442153334617615,0.04760829359292984,0.0021905857138335705,1.0,1.0,5.0,0
38,0.40078482031822205,0.3512004017829895,0.039516374468803406,0.0020136081147938967,1.0,1.0,5.0,0
39,0.3999153673648834,0.3573613464832306,0.033369436860084534,0.0018369153840467334,1.0,1.0,5.0,0
40,0.3982938826084137,0.3574022948741913,0.03241505101323128,0.001695303013548255,1.0,1.0,5.0,0
41,0.3954002559185028,0.3503304123878479,0.03695589303970337,0.0016227875603362918,1.0,1.0,5.0,0
42,0.3930974304676056,0.34063392877578735,0.044451963156461716,0.0016023091739043593,1.0,1.0,5.0,0
43,0.3915034234523773,0.3335255980491638,0.05023082718253136,0.0015493999235332012,1.0,1.0,5.0,0
